region,6/03,7/03,8/03,9/03,10/03,11/03,12/03,13/03,14/03,15/03,16/03,17/03,18/03,19/03,20/03,21/03,22/03,23/03
East of England,0.13172620741559804,0.12757266883632346,0.12424617915148017,0.12181451194030846,0.12033192714555785,0.11983365615580066,0.12033192714555785,0.12181451194030846,0.12424617915147973,0.127572668836323,0.13172620741559804,0.136631389848624,0.14221045935384158,0.14838742498301194,0.15509086408406425,0.1622555374629444,0.16982307804957042,0.17774203589715842
London,0.1879590610966746,0.1820324104558786,0.1772858692005137,0.17381614290322922,0.1717006546379496,0.17098967578838042,0.1717006546379496,0.17381614290322922,0.1772858692005137,0.1820324104558786,0.18795906109667548,0.1949582262795806,0.20291895548121364,0.2117328178314919,0.22129790092522494,0.23152111548350884,0.2423191780056131,0.2536186749781528
Midlands,0.10085622123351179,0.09767606282713182,0.09512913472400175,0.09326732779106184,0.09213218617429142,0.0917506847998637,0.09213218617429142,0.09326732779106184,0.09512913472400175,0.09767606282713182,0.10085622123351179,0.1046118760448218,0.10888349275143572,0.11361288885468657,0.11874537957362197,0.12423101449429019,0.13002510484709617,0.13608825796054802
North East and Yorkshire,0.11325734370033302,0.10968615801393877,0.10682606363375813,0.10473533184618278,0.10346061500009496,0.1030322048161989,0.10346061500009496,0.10473533184618322,0.10682606363375768,0.10968615801393877,0.11325734370033302,0.11747478792521093,0.12227163590920309,0.12758255112504102,0.13334612483704245,0.1395062648068528,0.1460127874039978,0.15282145629600485
North West,0.11394218135321799,0.11034940163730189,0.10747201301148213,0.10536863911344074,0.10408621438665833,0.10365521371798492,0.10408621438665833,0.10536863911344074,0.10747201301148213,0.11034940163730234,0.11394218135321843,0.11818512736464548,0.12301098063877802,0.12835400957538923,0.13415243411616817,0.14034982284760922,0.14689568869189618,0.1537455278309796
South East,0.09845095305106222,0.0953466366079887,0.09286044888412803,0.0910430432278071,0.08993497302001874,0.08956256987578648,0.08993497302001874,0.0910430432278071,0.09286044888412803,0.0953466366079887,0.09845095305106266,0.10211704118109655,0.10628678629638522,0.11090339346276945,0.11591348204852991,0.12126829288146368,0.12692420295147233,0.1328427590426413
South West,0.08396047676808394,0.08131306828170537,0.07919280941004159,0.07764289810236091,0.0766979189014978,0.07638032781100401,0.0766979189014978,0.07764289810236091,0.07919280941004114,0.08131306828170537,0.08396047676808394,0.08708697273112254,0.09064299506540596,0.0945801081834432,0.09885278826702315,0.10341945274921294,0.10824289926058484,0.1132903343111673
