region,6/03,7/03,8/03,9/03,10/03,11/03,12/03,13/03,14/03,15/03,16/03,17/03,18/03,19/03,20/03,21/03,22/03,23/03
East of England,2.481450189243663,2.668068894472989,2.8546875997023147,3.0413063049316404,3.2279250101609662,3.414543715390292,3.6011624206196178,3.7877811258489436,3.9743998310782693,4.161018536307595,4.347637241536921,4.534255946766247,4.720874651995572,4.907493357224898,5.094112062454224,5.28073076768355,5.4673494729128755,5.653968178142201
London,4.208433042873035,4.397983655062588,4.587534267252141,4.777084879441694,4.966635491631248,5.156186103820801,5.345736716010354,5.535287328199907,5.72483794038946,5.9143885525790125,6.1039391647685655,6.293489776958118,6.483040389147671,6.672591001337224,6.862141613526778,7.051692225716331,7.241242837905884,7.430793450095437
Midlands,2.9180625243620435,3.1031398729844524,3.2882172216068613,3.47329457022927,3.658371918851679,3.843449267474088,4.028526616096497,4.213603964718906,4.3986813133413145,4.583758661963723,4.768836010586132,4.95391335920854,5.138990707830949,5.324068056453358,5.509145405075767,5.694222753698176,5.879300102320585,6.0643774509429935
North East and Yorkshire,2.7392632961273184,2.9230113289572968,3.106759361787275,3.2905073946172534,3.4742554274472317,3.65800346027721,3.8417514931071883,4.025499525937167,4.209247558767145,4.392995591597123,4.576743624427102,4.760491657257079,4.944239690087057,5.127987722917036,5.311735755747014,5.495483788576992,5.679231821406971,5.862979854236949
North West,2.7686340592124243,2.948833881724964,3.1290337042375045,3.3092335267500443,3.489433349262584,3.669633171775124,3.849832994287664,4.030032816800205,4.2102326393127445,4.390432461825284,4.570632284337824,4.750832106850364,4.931031929362904,5.111231751875444,5.291431574387984,5.4716313969005235,5.651831219413063,5.832031041925603
South East,3.4811324097893452,3.6627802978862416,3.8444281859831375,4.026076074080033,4.20772396217693,4.389371850273826,4.5710197383707225,4.752667626467618,4.934315514564514,5.115963402661411,5.297611290758307,5.479259178855203,5.660907066952099,5.842554955048995,6.024202843145892,6.205850731242787,6.387498619339684,6.56914650743658
South West,2.5796271020715884,2.758921298113736,2.9382154941558833,3.1175096901980313,3.2968038862401787,3.476098082282326,3.6553922783244737,3.834686474366621,4.013980670408769,4.193274866450916,4.3725690624930635,4.551863258535212,4.7311574545773585,4.910451650619507,5.089745846661654,5.269040042703802,5.448334238745949,5.627628434788097
