Area Codes ,,All Ages,0,1,2,3,4,5,6,7,8,9,0-9,10,11,12,13,14,15,16,17,18,19,10-19,20,21,22,23,24,25,26,27,28,29,20-29,30,31,32,33,34,35,36,37,38,39,30-39,40,41,42,43,44,45,46,47,48,49,40-49,50,51,52,53,54,55,56,57,58,59,50-59,60,61,62,63,64,65,66,67,68,69,60-69,70,71,72,73,74,75,76,77,78,79,70-79,80,81,82,83,84,85,86,87,88,89,90+,80+,,,
E40000010,North West,"3,460,824","41,098","42,721","44,000","43,960","44,296","44,961","46,123","45,099","44,457","43,875","440,590","44,680","43,410","42,842","40,982","39,972","38,949","38,791","39,630","40,981","43,265","413,502","44,360","46,611","46,430","46,389","47,272","47,997","49,190","51,062","49,601","47,566","476,478","47,286","45,102","46,064","46,105","44,402","44,458","44,054","44,058","43,787","42,032","447,348","39,012","38,032","39,165","40,264","41,211","43,234","46,327","47,857","46,911","48,661","430,674","47,985","48,948","48,021","48,958","49,000","47,551","47,436","45,437","43,426","42,270","469,032","41,649","39,894","38,182","36,309","36,503","36,469","34,839","34,947","35,672","36,572","371,036","38,364","41,111","30,284","28,740","28,605","26,131","22,963","20,795","20,781","19,836","277,610","18,767","16,780","15,368","13,799","11,726","10,437","9,184","8,210","6,826","5,406","18,051","134,554",,,
E40000009,North East and Yorkshire,"4,222,136","47,266","49,536","51,087","51,103","51,869","52,957","54,474","53,757","53,392","52,831","518,272","53,004","51,277","51,085","48,393","47,865","46,693","46,277","47,388","49,531","56,347","497,860","58,908","59,971","59,937","57,774","58,835","59,676","60,463","60,935","57,988","55,335","589,822","55,163","52,467","54,117","53,241","51,755","51,239","51,210","51,517","52,295","50,094","523,098","46,050","44,945","46,924","48,284","48,881","52,628","55,762","58,921","56,903","57,685","516,983","58,533","59,761","59,723","60,666","60,189","59,529","58,658","56,374","54,623","53,550","581,606","53,104","51,157","48,967","46,712","47,135","46,130","44,237","44,844","44,658","46,425","473,369","47,949","51,985","38,471","37,082","36,168","32,381","28,271","25,617","25,938","25,042","348,904","24,006","21,796","19,511","17,725","15,466","13,598","12,118","10,360","8,481","6,999","22,162","172,222",,,
E40000008,Midlands,"5,216,783","60,517","63,138","64,928","65,368","65,986","67,779","69,466","68,069","66,917","66,378","658,546","67,195","64,839","63,695","61,746","61,317","59,274","58,273","59,816","63,374","70,279","629,808","72,337","73,697","72,661","71,745","73,162","72,481","72,926","75,378","72,357","69,105","725,849","68,002","65,327","66,321","66,570","64,545","64,688","63,874","64,921","65,503","62,286","652,037","58,026","57,668","59,810","61,084","63,002","66,709","70,505","72,301","70,372","72,969","652,446","72,935","73,456","73,158","73,177","72,391","71,586","70,173","67,400","63,627","62,378","700,281","60,954","58,269","56,532","54,919","55,282","54,895","53,022","53,145","53,747","54,580","555,345","56,673","61,054","47,254","46,240","46,215","41,792","36,370","31,559","31,737","30,998","429,892","28,858","26,439","23,739","21,577","18,639","16,775","15,234","13,108","11,060","8,698","28,452","212,579",,,
E40000007,East of England,"3,199,952","38,025","39,484","40,889","41,092","41,652","42,603","43,512","43,328","42,440","41,851","414,876","42,390","40,663","39,703","38,056","37,692","36,557","36,187","36,487","37,092","33,715","378,542","33,561","35,378","36,651","38,014","39,981","38,631","39,008","40,041","39,997","40,104","381,366","41,386","40,311","41,104","40,872","40,103","40,205","41,547","42,006","42,583","41,485","411,602","39,106","38,946","39,592","40,539","41,188","42,785","44,140","44,941","44,363","45,698","421,298","44,983","46,317","46,280","46,132","45,257","44,329","43,297","42,102","39,967","38,953","437,617","38,092","36,631","35,214","33,444","33,811","33,219","32,207","32,255","32,983","34,011","341,867","36,402","39,818","30,427","28,725","28,419","25,650","22,312","18,996","19,660","19,359","269,768","18,619","17,311","15,464","14,364","12,654","11,210","10,196","8,884","7,633","6,231","20,450","143,016",,,
E40000003,London,"4,448,930","63,039","63,373","64,130","62,694","62,250","63,406","64,881","61,232","59,274","57,674","621,953","57,802","56,154","53,901","51,489","49,075","48,243","47,349","48,951","49,244","45,615","507,823","46,576","51,041","57,046","62,264","67,326","69,612","74,538","79,149","82,295","85,004","674,851","87,629","85,868","88,778","88,943","85,655","84,667","82,550","82,162","79,633","75,823","841,708","71,044","67,917","65,316","63,663","62,076","61,735","61,484","60,346","58,939","57,698","630,218","57,750","56,940","55,818","54,404","53,718","51,130","48,707","47,158","45,234","42,972","513,831","40,851","38,523","37,080","34,900","32,681","31,415","29,832","28,948","28,522","27,927","330,679","28,176","29,549","23,516","21,611","20,879","19,250","17,266","15,709","16,755","16,127","208,838","15,038","13,783","12,962","11,698","10,504","9,321","8,464","7,299","6,404","5,190","18,366","119,029",,,
E40000005,South East,"4,361,159","48,866","50,518","53,033","53,707","54,297","56,130","58,042","58,287","57,441","56,508","546,829","56,944","55,846","54,426","52,064","51,902","50,256","49,268","51,086","52,404","52,691","526,887","52,852","54,535","54,970","54,351","55,256","54,330","54,847","55,165","54,206","52,547","543,059","52,867","51,151","52,095","52,372","51,341","53,233","53,998","55,527","56,449","55,752","534,785","52,916","52,921","53,289","55,108","56,796","59,003","61,124","62,636","60,987","62,465","577,245","62,424","64,205","64,024","64,739","63,867","62,090","60,111","58,008","55,094","53,638","608,200","52,242","49,880","48,136","45,980","45,453","44,669","42,788","43,170","43,915","45,840","462,073","49,047","53,629","40,710","38,985","38,314","34,807","30,295","26,166","27,192","26,083","365,228","24,688","22,982","21,480","19,179","17,077","15,288","14,216","12,543","10,400","8,861","30,139","196,853",,,
E40000006,South West,"2,758,158","28,498","29,598","31,162","31,275","31,798","32,852","34,497","33,724","33,044","32,673","319,121","33,130","32,385","31,424","30,266","30,157","29,973","28,965","30,009","31,777","35,134","313,220","35,397","35,967","35,620","33,983","34,810","34,376","34,515","35,808","35,179","34,568","350,223","33,631","32,429","32,401","32,702","31,621","32,321","32,185","32,631","32,992","32,089","325,002","29,890","29,554","30,225","31,467","32,595","34,614","36,226","37,634","36,926","38,205","337,336","38,250","39,779","39,644","39,978","40,024","39,235","38,651","37,259","36,001","35,416","384,237","34,761","33,805","32,515","31,765","31,854","31,845","31,259","31,429","32,473","33,253","324,959","35,413","38,697","29,675","28,655","27,876","25,948","22,402","19,225","19,477","18,898","266,266","17,757","16,423","14,968","13,791","11,934","10,899","9,618","8,663","7,460","6,113","20,168","137,794",,,
